sourceNode, Destination, latency
node0,node1,0.5760289669036865
node0, node2, 0.16398960053920747
node0, node3, 0.016139999311417342
node0, node4, 0.2352493792772293
node0, node5, 0.04113677032291889
node0, node6, 0.12262822538614274
node0, node7, 0.16703193485736847
node0, node8, 0.04845222271978855
node0, node9, 0.11708059310913085
node0, node10, 0.09022794216871262
node0, node11, 0.10731863677501678
node0, node12, 0.058435115963220596
node0, node13, 0.1266819082200527
node0, node14, 0.17111127078533173
node0, node15, 0.1708999529480934
node0, node16, 0.2474588543176651
node0, node17, 0.17342296242713928
node0, node18, 0.03468463327735662
node0, node19, 0.07402466982603073
node0, node20, 0.03993436507880688
node0, node21, 0.23240343034267424
node0, node22, 0.04519790485501289
node0, node23, 0.4507289588451385
node0, node24, 0.1083098903298378
node0, node25, 0.05939077064394951
node0, node26, 0.595971304178238
node0, node27, 0.14317465722560882
node0, node28, 0.4216682776808739
node0, node29, 0.17247038781642915
node0, node30, 0.036085065081715585
node0, node31, 0.13161998987197876
node0, node32, 0.4250186651945114
node0, node33, 0.12811619117856027
node0, node34, 0.1962844491004944
node0, node35, 0.4353166490793228
node0, node36, 0.17906101197004318
node0, node37, 0.17917198836803436
node0, node38, -0.8859859585762024
node0, node39, 0.3270436406135559
node0, node40, 0.07173231691122055
node0, node41, 0.08084974214434623
node0, node42, 0.3102874606847763
node0, node43, 0.30433249771595
node0, node44, 0.22779688239097595
node0, node45, 0.2301875114440918
node0, node46, 0.2673931211233139
node0, node47, 0.2875214844942093
node0, node48, 0.3102243721485138
node0, node49, 0.16759333312511443
node0, node50, 0.03220522087067366
node0, node51, 0.1013726219534874
node0, node52, 0.15514221638441086
node0, node53, 0.4457520306110382
node0, node54, 0.38238718509674074
node0, node55, 0.056614945828914645
node0, node56, 0.13178781792521477
node0, node57, 0.22921962291002274
node0, node58, 0.17443606853485108
node0, node59, 0.17353426069021224
node0, node60, 0.0674206294119358
node0, node61, 0.1852666825056076
node0, node62, 0.10441310554742814
node0, node63, 0.1049017295241356
node0, node64, 0.44211127460002897
node0, node65, 0.16157441586256027
node0, node66, 0.1368558406829834
node0, node67, 0.4080773800611496
node0, node68, 0.1099115788936615
node0, node69, 0.4471731066703796
node0, node70, 0.0855475753545761
node0, node71, 0.3591284453868866
node0, node72, 0.3702288240194321
node0, node73, 0.2812214732170105
node0, node74, 0.5103330969810486
node0, node75, 0.19699422419071197
node0, node76, 0.26034688502550124
node0, node77, 0.14451710134744644
node0, node78, 0.26333307921886445
node0, node79, 0.3936347305774689
node0, node80, 0.330045560002327
node0, node81, 0.0523828748613596
node0, node82, 0.010246491618454456
node0, node83, 0.11793934926390648
node0, node84, 0.05147595964372158
node0, node85, 0.12189300134778022
node0, node86, 0.016080440301448107
node0, node87, 0.23343057185411453
node0, node88, 0.06705039367079735
node0, node89, 0.09526733160018921
node0, node90, 0.04407578334212303
node0, node91, 0.16959852278232573
node0, node92, 0.18024696111679078
node0, node93, 0.08361797928810119
node0, node94, 0.1328734666109085
node0, node95, 0.1429741069674492
node0, node96, 0.04206105414777994
node0, node97, 0.1918458640575409
node0, node98, 0.32170683741569517
node0, node99, 0.14958319514989854
node1, node0, 0.21237050443887712
node1, node2, 0.543152105808258
node1, node3, 0.23412330597639083
node1, node4, 0.032663770392537116
node1, node5, 0.12645507156848906
node1, node6, 0.0723395936191082
node1, node7, 0.4495306134223938
node1, node8, 0.22736622095108033
node1, node9, 0.5205615937709809
node1, node10, 0.07922175824642182
node1, node11, 0.28403536379337313
node1, node12, 0.13276781737804413
node1, node13, -0.14181015342473985
node1, node14, 0.14415276497602464
node1, node15, 0.12634786441922188
node1, node16, 0.045419170334935186
node1, node17, 0.12124416828155518
node1, node18, 0.3607804849743843
node1, node19, 0.17355850487947463
node1, node20, 0.05662216879427433
node1, node21, 0.2002732440829277
node1, node22, 0.1896812230348587
node1, node23, 0.19631987884640695
node1, node24, 0.17136165052652358
node1, node25, 0.046003158390522006
node1, node26, 0.07982602268457413
node1, node27, 0.16977363377809523
node1, node28, 0.2550594210624695
node1, node29, 0.16723460108041763
node1, node30, 0.2779930904507637
node1, node31, 0.16925327330827714
node1, node32, 0.22568720933049918
node1, node33, 0.041975316032767294
node1, node34, 0.01144360825419426
node1, node35, 0.04152377657592297
node1, node36, 0.03940996713936329
node1, node37, 0.0651508055627346
node1, node38, 0.17663869261741638
node1, node39, 0.08817761540412902
node1, node40, 0.40029926747083666
node1, node41, 0.19510093778371812
node1, node42, 0.27458645701408385
node1, node43, 0.24728771150112153
node1, node44, 0.27551665902137756
node1, node45, 0.04310956243425608
node1, node46, 0.39134621918201445
node1, node47, 0.1424557387828827
node1, node48, 0.5002110630273819
node1, node49, 0.2988673895597458
node1, node50, 0.11380476504564285
node1, node51, 0.11121919602155686
node1, node52, 0.12764089852571486
node1, node53, 0.12656911537051202
node1, node54, 0.14180028736591338
node1, node55, 0.18505233079195021
node1, node56, 0.3645565718412399
node1, node57, 0.054856158420443536
node1, node58, 0.10277913585305214
node1, node59, 0.15999457538127898
node1, node60, 0.04578185193240643
node1, node61, 0.27330643832683565
node1, node62, 0.1261397421360016
node1, node63, 0.05292839929461479
node1, node64, 0.8734777092933654
node1, node65, 0.14754988700151445
node1, node66, 0.10198319666087627
node1, node67, 0.09450197592377663
node1, node68, 0.1319632761180401
node1, node69, 0.0877733051776886
node1, node70, 0.31655940115451814
node1, node71, 0.19772596210241317
node1, node72, 0.3115226268768311
node1, node73, -0.8890642985701561
node1, node74, 0.04838903211057186
node1, node75, 0.2800087362527847
node1, node76, 0.05452742092311382
node1, node77, 0.1523760661482811
node1, node78, 0.12416844591498374
node1, node79, 0.5005546927452087
node1, node80, 0.06613116152584553
node1, node81, 0.19829416573047637
node1, node82, 0.2731167018413544
node1, node83, 0.07224650904536248
node1, node84, 0.2525642216205597
node1, node85, 0.6159597396850586
node1, node86, 0.11252922639250755
node1, node87, 0.018431168608367444
node1, node88, 0.07688312828540803
node1, node89, 0.19015811681747435
node1, node90, 0.2560070723295212
node1, node91, 0.03835016265511513
node1, node92, 0.10374913588166237
node1, node93, 0.2180531844496727
node1, node94, 0.35434298515319823
node1, node95, 0.038003260642290114
node1, node96, 0.127547724545002
node1, node97, 0.030641787685453892
node1, node98, 0.08003581315279007
node1, node99, 0.035090158320963384
node2, node0, 0.010743589792400598
node2, node1, 0.08840877935290337
node2, node3, 0.09767887145280837
node2, node4, 0.1464527204632759
node2, node5, 0.12573319673538208
node2, node6, 0.003905116440728307
node2, node7, 0.3664795085787773
node2, node8, 0.14485699087381362
node2, node9, 0.1937798425555229
node2, node10, 0.2068821147084236
node2, node11, 0.11871880292892456
node2, node12, 0.4891901075839996
node2, node13, 0.34834209084510803
node2, node14, 0.03392119128257036
node2, node15, 0.10976769402623177
node2, node16, 0.06908911168575287
node2, node17, 0.8480051279067993
node2, node18, 0.1689596116542816
node2, node19, 0.43322390615940093
node2, node20, 0.23103386163711548
node2, node21, 0.16395629197359085
node2, node22, 0.0799173031002283
node2, node23, 0.09980176910758018
node2, node24, 0.27375033497810364
node2, node25, 0.2409828007221222
node2, node26, 0.31578029990196227
node2, node27, 0.11756728738546371
node2, node28, 0.1747688964009285
node2, node29, 0.6074064791202545
node2, node30, 0.1278478130698204
node2, node31, 0.17797736525535585
node2, node32, 0.111508197337389
node2, node33, 0.17745063602924346
node2, node34, 0.34049963653087617
node2, node35, -0.29626408964395523
node2, node36, 0.2123655781149864
node2, node37, 0.05596380494534969
node2, node38, 0.12564799636602403
node2, node39, 0.029516187496483326
node2, node40, 0.3324021577835083
node2, node41, 0.02595883756875992
node2, node42, 0.0457151647657156
node2, node43, 0.19821963161230088
node2, node44, 0.3228698313236237
node2, node45, 0.26488120257854464
node2, node46, 0.11210553273558617
node2, node47, 0.3236720710992813
node2, node48, 0.53659228682518
node2, node49, 0.2714616060256958
node2, node50, 0.14265249967575072
node2, node51, 0.07951082289218903
node2, node52, 0.030545898713171482
node2, node53, 0.09569910913705826
node2, node54, 0.16404768973588943
node2, node55, 0.15323590189218522
node2, node56, 0.03886378295719624
node2, node57, 0.30827310085296633
node2, node58, 0.0866817019879818
node2, node59, 0.4439608991146088
node2, node60, 0.2086268737912178
node2, node61, 0.9590739488601685
node2, node62, 0.2276105225086212
node2, node63, 0.10622630789875984
node2, node64, 0.060516318306326866
node2, node65, 0.09314888790249824
node2, node66, 0.3802224799990654
node2, node67, 0.1845242664217949
node2, node68, 0.10356523171067238
node2, node69, 0.11101175397634507
node2, node70, 0.09681595638394355
node2, node71, 0.21932658851146697
node2, node72, 0.08230509608983994
node2, node73, 0.014851911924779415
node2, node74, 0.20546138137578965
node2, node75, 0.044477469846606256
node2, node76, 0.10149422958493233
node2, node77, 0.17858076989650726
node2, node78, 0.04973870366811752
node2, node79, 0.17105984985828399
node2, node80, 0.017487862054258584
node2, node81, 0.22840338051319123
node2, node82, 0.23462323248386383
node2, node83, 0.03901786729693413
node2, node84, 0.5242781579494477
node2, node85, 0.037118452787399295
node2, node86, 0.2735637009143829
node2, node87, 0.45246132016181945
node2, node88, 0.1443491443991661
node2, node89, 0.034457511454820636
node2, node90, 0.21704348623752595
node2, node91, 0.06078885681927204
node2, node92, 0.09976535364985466
node2, node93, 0.1322549507021904
node2, node94, 0.33333429992198943
node2, node95, 0.08270567208528519
node2, node96, 0.08847397118806839
node2, node97, 0.13094119876623153
node2, node98, 0.022218864783644675
node2, node99, 0.18201197683811188
node3, node0, 0.20038870126008987
node3, node1, 0.16161594837903975
node3, node2, 0.13620463013648987
node3, node4, 0.17413384318351746
node3, node5, 0.16401002258062364
node3, node6, 0.13684418946504592
node3, node7, 0.01630486734211445
node3, node8, 0.18416499644517897
node3, node9, 0.09408222436904908
node3, node10, 0.10719127953052521
node3, node11, 0.04557981416583061
node3, node12, 0.09033932611346245
node3, node13, 0.234941965341568
node3, node14, 0.1491002082824707
node3, node15, 0.03352658748626709
node3, node16, 0.20107419639825821
node3, node17, 0.04488346390426159
node3, node18, 0.12014350518584252
node3, node19, 0.17478884309530257
node3, node20, 0.3527975559234619
node3, node21, 0.10748776197433471
node3, node22, 0.07973695918917656
node3, node23, 0.6273230880498886
node3, node24, 0.05624580085277557
node3, node25, 0.48864729702472687
node3, node26, 0.41388473808765414
node3, node27, 0.025676745735108853
node3, node28, 0.14597433060407639
node3, node29, 0.2391560211777687
node3, node30, 0.31688975542783737
node3, node31, 0.10776781067252159
node3, node32, 0.022958402149379255
node3, node33, 0.19863324537873267
node3, node34, 0.10604839622974396
node3, node35, 0.2021154910326004
node3, node36, 0.014785886742174625
node3, node37, 0.12771171256899833
node3, node38, 0.10863772928714752
node3, node39, 0.11868101507425308
node3, node40, 0.19415563344955444
node3, node41, 0.1783793956041336
node3, node42, 0.02580952290445566
node3, node43, 0.16356251537799835
node3, node44, 0.055966607108712194
node3, node45, 0.024533487856388092
node3, node46, 0.02595883756875992
node3, node47, 0.27699514031410216
node3, node48, 0.1484013393521309
node3, node49, 0.09364005699753761
node3, node50, 0.6434173464775086
node3, node51, 0.45154391825199125
node3, node52, 0.20913455337285997
node3, node53, 0.03481971099972725
node3, node54, 0.18391465544700622
node3, node55, 3.7784406542778015
node3, node56, 0.16206469386816025
node3, node57, 0.11123183742165565
node3, node58, 0.17676747143268584
node3, node59, 0.056436655856668946
node3, node60, 0.17679305672645568
node3, node61, 0.2522212564945221
node3, node62, 0.05744862295687199
node3, node63, 0.049901720881462094
node3, node64, 0.09411194026470185
node3, node65, 0.06098524928092956
node3, node66, 0.2941555976867676
node3, node67, 0.25115637183189393
node3, node68, 0.34218760430812833
node3, node69, 0.1847425162792206
node3, node70, 0.20090211629867555
node3, node71, 0.12836914658546447
node3, node72, 0.5406824469566345
node3, node73, 0.6527114272117615
node3, node74, 0.14466751515865325
node3, node75, 0.19334911555051804
node3, node76, 0.03016258981078863
node3, node77, 0.2998296141624451
node3, node78, 0.1352679044008255
node3, node79, 0.3099955037236214
node3, node80, 0.1189203105866909
node3, node81, 0.20116620361804963
node3, node82, 0.13277587294578552
node3, node83, 0.17766916304826735
node3, node84, 0.2957444727420807
node3, node85, 0.044578059762716296
node3, node86, 0.02771594896912575
node3, node87, 0.1583335816860199
node3, node88, 0.2148123200982809
node3, node89, 0.17865826934576035
node3, node90, 0.11519023180007934
node3, node91, 0.09780871719121934
node3, node92, 0.08777442127466202
node3, node93, 0.14256369322538376
node3, node94, 0.0990525595843792
node3, node95, 0.17771018147468567
node3, node96, 0.07703732550144196
node3, node97, 0.16617512553930283
node3, node98, 0.41449789702892303
